delocated_monad,10km_location,location_qualifier,easting_sw_delocated,northing_sw_delocated,easting_centroid_delocated,northing_centroid_delocated,plot_number,fizz_test,fizz_test_qualifier,soil_moisture_content,soil_moisture_content_qualifier,ACYC_CO2,ACYC_CO2_qualifier,AKGA_CO2,AKGA_CO2_qualifier,ARA_CO2,ARA_CO2_qualifier,ARG_CO2,ARG_CO2_qualifier,CIT_CO2,CIT_CO2_qualifier,CYS_CO2,CYS_CO2_qualifier,FRU_CO2,FRU_CO2_qualifier,GABA_CO2,GABA_CO2_qualifier,GLU_CO2,GLU_CO2_qualifier,LYS_CO2,LYS_CO2_qualifier,MAL_CO2,MAL_CO2_qualifier,NAGA_CO2,NAGA_CO2_qualifier,OXA_CO2,OXA_CO2_qualifier,PRO_CO2,PRO_CO2_qualifier,TRE_CO2,TRE_CO2_qualifier,WAT_CO2,WAT_CO2_qualifier
SU10-X-40,SU10,Sample location delocated to a 10km square (see metadata),410000,100000,415000,105000,1,1,,12.04,,0.44,,3.57,,0.88,,0.32,,3.07,,2.32,,1.42,,0.64,,1.51,,0.43,,3.37,,1.08,,2.18,,0.97,,1.49,,0.28,
SU10-X-40,SU10,Sample location delocated to a 10km square (see metadata),410000,100000,415000,105000,2,0,,16,,1.23,,3.42,,2.37,,2.16,,1.9,,1.45,,3.56,,1.67,,3.65,,1.15,,3.86,,2.56,,1.21,,2.4,,3.83,,0.71,
SU10-X-40,SU10,Sample location delocated to a 10km square (see metadata),410000,100000,415000,105000,3,0,,12.87,,0.61,,2.94,,1.16,,0.94,,1.15,,0.96,,1.79,,0.78,,2.11,,0.56,,1.9,,1.55,,0.61,,1.08,,1.62,,0.33,
SU10-X-40,SU10,Sample location delocated to a 10km square (see metadata),410000,100000,415000,105000,4,0,,12.17,,0.49,,1.01,,0.8,,0.73,,0.63,,0.76,,1.6,,0.74,,1.78,,0.32,,1.29,,1.54,,0.35,,0.83,,1.84,,0.28,
SU10-X-40,SU10,Sample location delocated to a 10km square (see metadata),410000,100000,415000,105000,6,0,,27.17,,0.68,,1.68,,1.79,,1.81,,1.42,,0.33,,1.72,,1.29,,3.14,,0.9,,2.43,,1.78,,0.93,,1.84,,2.8,,0.55,
SU26-X-21,SU26,Sample location delocated to a 10km square (see metadata),420000,160000,425000,165000,2,0,,20.27,,1.08,,5.22,,1.96,,1.16,,4.54,,1.4,,2.71,,1.15,,2.83,,0.73,,3.35,,1.79,,1.85,,1.98,,2.15,,0.54,
SU26-X-21,SU26,Sample location delocated to a 10km square (see metadata),420000,160000,425000,165000,3,3,,17.62,,0.49,,5.67,,1.73,,0.45,,3.31,,0.93,,2.46,,0.67,,2.48,,0.62,,3.99,,1.1,,1.13,,0.8,,1.54,,0.3,
SU29-X-51,SU29,Sample location delocated to a 10km square (see metadata),420000,190000,425000,195000,3,4,,22.76,,0.84,,5.51,,2.56,,0.89,,3.87,,0.97,,3.49,,1.12,,3.52,,1.05,,4.92,,1.69,,1.31,,1.05,,2.26,,0.52,
SU29-X-51,SU29,Sample location delocated to a 10km square (see metadata),420000,190000,425000,195000,4,4,,26.77,,1.12,,6.65,,3.61,,1.07,,5.69,,1.53,,4.51,,1.54,,5.22,,1.21,,7.18,,2.5,,1.73,,1.95,,3.4,,0.7,
SU38-X-26,SU38,Sample location delocated to a 10km square (see metadata),430000,180000,435000,185000,1,4,,40.07,,2.04,,5.65,,5.34,,1.2,,5.78,,2.32,,7.07,,2.79,,7.99,,2.34,,7.67,,4.22,,1.28,,3.11,,7.32,,0.84,
SU38-X-26,SU38,Sample location delocated to a 10km square (see metadata),430000,180000,435000,185000,2,4,,25.65,,0.76,,3.68,,2.89,,0.72,,3.16,,1.1,,3.98,,1.22,,4.5,,1.11,,4.59,,2.08,,0.66,,0.96,,3.18,,0.49,
SU50-X-83,SU50,Sample location delocated to a 10km square (see metadata),450000,100000,455000,105000,1,0,,26.44,,0.73,,7.5,,1.9,,1.65,,3.95,,1.44,,2.45,,1.42,,2.46,,0.82,,3.3,,1.73,,2.87,,1.47,,2.26,,0.49,
SU50-X-83,SU50,Sample location delocated to a 10km square (see metadata),450000,100000,455000,105000,2,1,,25.29,,1.54,,8.02,,2.8,,0.5,,6.46,,3.72,,4.02,,1.4,,4.29,,1.12,,7.28,,2.46,,3.52,,3.08,,3.87,,0.56,
SU50-X-83,SU50,Sample location delocated to a 10km square (see metadata),450000,100000,455000,105000,4,1,,24.7,,1.09,,10.61,,3.19,,0.4,,7.42,,3.66,,4.06,,1.32,,5.12,,1.42,,8.58,,2.69,,4.74,,3.19,,3.9,,0.53,
SU58-X-30,SU58,Sample location delocated to a 10km square (see metadata),450000,180000,455000,185000,3,4,,20.65,,0.61,,4.25,,2.04,,0.41,,2.97,,0.65,,2.72,,0.74,,3.41,,0.7,,3.89,,1.23,,0.79,,0.64,,1.62,,0.39,
SU62-X-52,SU62,Sample location delocated to a 10km square (see metadata),460000,120000,465000,125000,5,4,,24.83,,0.94,,3.19,,2.8,,0.91,,2.42,,0.84,,3.31,,1.45,,4.03,,1.34,,3.4,,2.12,,0.77,,0.75,,3.09,,0.65,
SU63-X-94,SU63,Sample location delocated to a 10km square (see metadata),460000,130000,465000,135000,1,0,,25.1,,1.25,,8.27,,3.38,,2.69,,5.69,,1.83,,4.63,,2.31,,5.02,,1.38,,5.03,,3.21,,3.41,,2.65,,3.62,,0.68,
SU63-X-94,SU63,Sample location delocated to a 10km square (see metadata),460000,130000,465000,135000,2,0,,24.81,,1.6,,11.19,,4.65,,2.08,,9.11,,1.91,,5.15,,2.45,,5.42,,1.45,,5.91,,3.56,,5.48,,2.85,,4.55,,0.78,
SU63-X-94,SU63,Sample location delocated to a 10km square (see metadata),460000,130000,465000,135000,3,1,,22,,1.28,,9.9,,3.11,,1.36,,7.78,,1.71,,3.88,,1.68,,4.65,,0.98,,5.08,,3.2,,3,,1.98,,2.71,,0.52,
SU63-X-94,SU63,Sample location delocated to a 10km square (see metadata),460000,130000,465000,135000,4,0,,25.83,,1.54,,9.47,,4.77,,3.06,,7.09,,2.47,,5.39,,2.77,,4.83,,1.99,,5.69,,4.69,,3.94,,2.88,,4.97,,1.09,
SU92-X-21,SU92,Sample location delocated to a 10km square (see metadata),490000,120000,495000,125000,2,1,,15.77,,0.77,,6.87,,1.63,,1.07,,4.02,,1.72,,2.44,,1.45,,2.54,,0.81,,2.75,,1.63,,2.19,,1.36,,2.19,,0.41,
SU92-X-21,SU92,Sample location delocated to a 10km square (see metadata),490000,120000,495000,125000,3,1,,15.41,,0.62,,7.83,,1.43,,1.12,,4.65,,0.94,,1.98,,1.1,,2.36,,0.56,,2.62,,1.49,,1.47,,0.9,,1.45,,0.38,
SW72-X-01,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,1,0,,24.27,,0.95,,5.03,,2.17,,1.78,,2.81,,1.57,,3.43,,1.71,,3.48,,0.94,,3.04,,2.82,,1.31,,1.78,,2.77,,0.55,
SW72-X-01,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,2,0,,25.64,,0.67,,4.45,,1.61,,1.43,,2.17,,1.4,,2.58,,1.32,,2.77,,0.75,,2.34,,1.98,,1.25,,1.69,,2.19,,0.47,
SW72-X-01,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,3,0,,28.28,,1.16,,4.64,,2.7,,2.23,,2.95,,1.85,,4.08,,2.34,,4.56,,1.14,,3.72,,3.45,,1.65,,1.96,,3.01,,0.73,
SW72-X-01,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,4,0,,28.82,,0.71,,8.68,,2.92,,1.56,,6.7,,1.27,,3.59,,1.52,,4.03,,0.81,,5.5,,2.36,,2.46,,2.14,,2.44,,0.48,
SW72-X-48,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,1,0,,25.8,,0.87,,6.74,,2.38,,1.61,,4.81,,1.37,,3.05,,1.53,,2.93,,0.87,,3.28,,2,,2.24,,1.5,,2.48,,0.52,
SW72-X-48,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,3,0,,22.56,,0.57,,6.51,,2.16,,1.27,,4.21,,0.99,,2.58,,1.06,,2.62,,0.69,,3.34,,1.69,,1.8,,1.28,,2.2,,0.38,
