delocated_monad,10km_location,location_qualifier,easting_sw_delocated,northing_sw_delocated,easting_centroid_delocated,northing_centroid_delocated,plot_number,fizz_test,fizz_test_qualifier,soil_moisture_content,soil_moisture_content_qualifier,ACYC_SIR,ACYC_SIR_qualifier,AKGA_SIR,AKGA_SIR_qualifier,ARA_SIR,ARA_SIR_qualifier,ARG_SIR,ARG_SIR_qualifier,CIT_SIR,CIT_SIR_qualifier,CYS_SIR,CYS_SIR_qualifier,FRU_SIR,FRU_SIR_qualifier,GABA_SIR,GABA_SIR_qualifier,GLU_SIR,GLU_SIR_qualifier,LYS_SIR,LYS_SIR_qualifier,MAL_SIR,MAL_SIR_qualifier,NAGA_SIR,NAGA_SIR_qualifier,OXA_SIR,OXA_SIR_qualifier,PRO_SIR,PRO_SIR_qualifier,TRE_SIR,TRE_SIR_qualifier
ST58-X-97,ST58,Sample location delocated to a 10km square (see metadata),350000,180000,355000,185000,2,0,,29.21,,1.21,,4.93,,3.54,,2.19,,2.58,,1.54,,5.51,,1.71,,5.11,,0.5,,5.26,,3.07,,1.26,,3.38,,4.07,
ST58-X-97,ST58,Sample location delocated to a 10km square (see metadata),350000,180000,355000,185000,3,0,,22.83,,0.46,,4.37,,2.4,,1.31,,2.45,,0.88,,3.75,,1.28,,3.72,,0.34,,3.25,,1.92,,0.93,,1.67,,2.37,
ST58-X-97,ST58,Sample location delocated to a 10km square (see metadata),350000,180000,355000,185000,4,1,,21,,0.88,,8.53,,2.73,,0.39,,5.57,,2.16,,3.69,,0.71,,4.12,,0.44,,6.13,,1.75,,2.55,,2.66,,1.99,
ST64-X-50,ST64,Sample location delocated to a 10km square (see metadata),360000,140000,365000,145000,1,0,,31.21,,0.49,,8.28,,2.12,,2.15,,6.2,,0.89,,2.69,,1.28,,3.14,,0.44,,3.85,,1.71,,2.25,,1.73,,2.47,
ST64-X-50,ST64,Sample location delocated to a 10km square (see metadata),360000,140000,365000,145000,2,0,,33.36,,1.36,,11.37,,4.93,,2.5,,9.58,,1.75,,5.55,,1.93,,5.81,,1.1,,6.57,,2.97,,3.28,,3.87,,4.15,
ST64-X-50,ST64,Sample location delocated to a 10km square (see metadata),360000,140000,365000,145000,3,0,,30.63,,0.77,,7.82,,2.87,,2.66,,5.43,,1.22,,4.72,,1.93,,4.88,,0.7,,3.72,,3.03,,1.59,,1.69,,3.67,
ST65-X-52,ST65,Sample location delocated to a 10km square (see metadata),360000,150000,365000,155000,1,0,,21.28,,0.33,,5.25,,1.85,,0.97,,4.42,,0.73,,2.12,,0.77,,2.19,,0.27,,2.61,,1.22,,1.58,,0.89,,1.38,
ST65-X-52,ST65,Sample location delocated to a 10km square (see metadata),360000,150000,365000,155000,2,0,,22.01,,0.61,,6.54,,2.03,,0.74,,3.98,,0.87,,2.82,,0.88,,2.78,,0.38,,3.07,,1.85,,1.32,,1.41,,1.92,
ST65-X-52,ST65,Sample location delocated to a 10km square (see metadata),360000,150000,365000,155000,3,1,,32.33,,0.68,,5.43,,2.53,,1.8,,3,,1.4,,4.44,,1.9,,4.7,,0.46,,3.82,,3.03,,1.4,,1.57,,3.19,
ST65-X-52,ST65,Sample location delocated to a 10km square (see metadata),360000,150000,365000,155000,4,0,,29.26,,1.12,,8.52,,2.69,,0.01,,5.6,,2.55,,4.7,,1.38,,4.7,,0.94,,7.51,,2.92,,2.6,,2.66,,2.43,
ST69-X-45,ST69,Sample location delocated to a 10km square (see metadata),360000,190000,365000,195000,2,0,,36.78,,1.85,,5.04,,4.6,,2.49,,3.8,,2.1,,6.39,,2.29,,6.17,,0.87,,5.77,,3.42,,2.59,,3.76,,5.33,
ST69-X-45,ST69,Sample location delocated to a 10km square (see metadata),360000,190000,365000,195000,3,1,,40.38,,0.82,,2.38,,3.22,,1.93,,2.32,,1.5,,5.4,,1.76,,5.55,,,NULL,5.5,,2.78,,1.03,,3.22,,5.28,
ST77-X-18,ST77,Sample location delocated to a 10km square (see metadata),370000,170000,375000,175000,1,4,,24.23,,0.6,,3.38,,2.51,,0.55,,3.09,,0.39,,2.97,,0.83,,4.39,,0.7,,3.93,,1.9,,0.42,,0.69,,2.29,
ST77-X-18,ST77,Sample location delocated to a 10km square (see metadata),370000,170000,375000,175000,3,4,,30.53,,0.83,,5.06,,3.44,,0.48,,4.57,,0.8,,4.54,,0.88,,4.86,,0.62,,4.57,,1.86,,0.59,,1.57,,4.45,
ST77-X-18,ST77,Sample location delocated to a 10km square (see metadata),370000,170000,375000,175000,4,4,,24.61,,0.54,,3.28,,2.4,,0.46,,3.15,,0.77,,3.79,,0.65,,4.12,,0.53,,4.33,,1.5,,0.41,,1.4,,3.11,
ST77-X-79,ST77,Sample location delocated to a 10km square (see metadata),370000,170000,375000,175000,3,3,,40.68,,0.93,,15.28,,3.79,,0.05,,11.83,,3.07,,5.67,,1.49,,6.6,,1.02,,11.63,,3.52,,4.23,,1.61,,4.55,
ST77-X-79,ST77,Sample location delocated to a 10km square (see metadata),370000,170000,375000,175000,6,4,,41.05,,0.88,,7.16,,5.88,,0.37,,6.16,,1.4,,7.54,,1.22,,7.32,,1.29,,8.41,,3.06,,0.85,,1.57,,7.69,
ST83-X-06,ST83,Sample location delocated to a 10km square (see metadata),380000,130000,385000,135000,1,0,,24.63,,0.35,,2.04,,1.23,,0.92,,1.11,,1.11,,2.75,,0.83,,3.1,,0.25,,3.15,,1.66,,0.64,,1.26,,1.82,
ST83-X-06,ST83,Sample location delocated to a 10km square (see metadata),380000,130000,385000,135000,2,0,,34.35,,1.53,,5.04,,3.84,,1.28,,3.26,,2.46,,6,,1.9,,6.61,,0.63,,6.3,,4.23,,0.89,,4.6,,4.3,
ST83-X-06,ST83,Sample location delocated to a 10km square (see metadata),380000,130000,385000,135000,3,0,,29.42,,0.44,,2.44,,1.89,,1.16,,1.41,,1.53,,3.59,,1.21,,4.42,,0.34,,3.2,,3.12,,0.68,,1.61,,3.17,
ST83-X-06,ST83,Sample location delocated to a 10km square (see metadata),380000,130000,385000,135000,4,0,,35.51,,1.18,,3.92,,3.78,,1.15,,2.38,,2.15,,5.72,,1.8,,6.35,,0.71,,6,,3.71,,1.11,,3.35,,5.12,
ST83-X-06,ST83,Sample location delocated to a 10km square (see metadata),380000,130000,385000,135000,5,0,,36.35,,0.6,,4.3,,3.42,,1.31,,2.97,,1.76,,4.44,,1.77,,5.59,,0.46,,7.12,,4.03,,2.23,,2.19,,4.32,
ST83-X-06,ST83,Sample location delocated to a 10km square (see metadata),380000,130000,385000,135000,6,0,,32.89,,0.45,,2.93,,2.72,,1.37,,1.78,,1.5,,3.97,,1.81,,4.59,,0.67,,5.61,,2.73,,2.32,,2.36,,3.78,
SU10-X-40,SU10,Sample location delocated to a 10km square (see metadata),410000,100000,415000,105000,1,1,,12.04,,0.16,,3.29,,0.6,,0.03,,2.79,,2.04,,1.13,,0.36,,1.23,,0.15,,3.08,,0.79,,1.9,,0.68,,1.2,
SU10-X-40,SU10,Sample location delocated to a 10km square (see metadata),410000,100000,415000,105000,2,0,,16,,0.52,,2.71,,1.65,,1.45,,1.19,,0.74,,2.85,,0.95,,2.94,,0.44,,3.15,,1.85,,0.5,,1.69,,3.12,
SU10-X-40,SU10,Sample location delocated to a 10km square (see metadata),410000,100000,415000,105000,3,0,,12.87,,0.28,,2.61,,0.82,,0.61,,0.82,,0.63,,1.45,,0.45,,1.77,,0.22,,1.57,,1.21,,0.28,,0.75,,1.29,
SU10-X-40,SU10,Sample location delocated to a 10km square (see metadata),410000,100000,415000,105000,4,0,,12.17,,0.21,,0.73,,0.52,,0.45,,0.35,,0.48,,1.32,,0.46,,1.5,,0.04,,1.01,,1.26,,0.07,,0.55,,1.56,
SU10-X-40,SU10,Sample location delocated to a 10km square (see metadata),410000,100000,415000,105000,6,0,,27.17,,0.14,,1.14,,1.24,,1.26,,0.87,,,NULL,1.18,,0.75,,2.59,,0.35,,1.89,,1.24,,0.39,,1.29,,2.25,
SU26-X-21,SU26,Sample location delocated to a 10km square (see metadata),420000,160000,425000,165000,2,0,,20.27,,0.54,,4.68,,1.42,,0.62,,4,,0.86,,2.17,,0.61,,2.28,,0.18,,2.81,,1.25,,1.31,,1.43,,1.61,
SU26-X-21,SU26,Sample location delocated to a 10km square (see metadata),420000,160000,425000,165000,3,3,,17.62,,0.19,,5.37,,1.43,,0.14,,3.01,,0.63,,2.16,,0.37,,2.18,,0.32,,3.69,,0.8,,0.83,,0.5,,1.24,
SU29-X-51,SU29,Sample location delocated to a 10km square (see metadata),420000,190000,425000,195000,3,4,,22.76,,0.33,,4.99,,2.04,,0.37,,3.35,,0.45,,2.97,,0.6,,3.01,,0.53,,4.4,,1.17,,0.8,,0.54,,1.74,
SU29-X-51,SU29,Sample location delocated to a 10km square (see metadata),420000,190000,425000,195000,4,4,,26.77,,0.42,,5.95,,2.91,,0.37,,4.99,,0.82,,3.81,,0.84,,4.52,,0.51,,6.48,,1.79,,1.03,,1.25,,2.7,
SU38-X-26,SU38,Sample location delocated to a 10km square (see metadata),430000,180000,435000,185000,1,4,,40.07,,1.19,,4.81,,4.49,,0.36,,4.93,,1.47,,6.23,,1.95,,7.15,,1.5,,6.83,,3.38,,0.44,,2.27,,6.48,
SU38-X-26,SU38,Sample location delocated to a 10km square (see metadata),430000,180000,435000,185000,2,4,,25.65,,0.27,,3.19,,2.4,,0.23,,2.67,,0.61,,3.49,,0.73,,4.01,,0.62,,4.1,,1.6,,0.17,,0.47,,2.69,
SU50-X-83,SU50,Sample location delocated to a 10km square (see metadata),450000,100000,455000,105000,1,0,,26.44,,0.24,,7.01,,1.41,,1.16,,3.46,,0.95,,1.96,,0.93,,1.97,,0.32,,2.8,,1.24,,2.38,,0.98,,1.77,
